RUT,Nombre,Malla,Estado_Academico,Anio_Ingreso
22430294-4,Sofía Martínez,2024,Al día,2019
18594367-8,Camila Aravena,2024,Atrasado,2019
156163684,Juan Silva,2019,Al día,2019
223357973,Camila Contreras,2024,Al día,2023
11.223.894-8,Camila Pérez,2024,Atrasado,2020
20549769- k,Diego Romero,2024,Atrasado,2019
17255690-1,Ana Aravena,2019,Atrasado,2022
10778363-1,Luis Tapia,2019,Al día,2022
13772689-5,Moisés Silva,2024,Al día,2022
10510631-k,Moisés Tapia,2024,Al día,2022
25796196-K,Diego González,2019,Atrasado,2019
20415429- K,Juan Romero,2024,Al día,2022
25.157.264-5,Sofía Martínez,2019,Al día,2024
22180856-1,Valentina Contreras,2019,Atrasado,2023
17.659.906-6,Luis Tapia,2024,Al día,2019
16.672.601-9,Moisés Soto,2019,Atrasado,2021
15.118.680-1,Moisés Soto,2019,Al día,2022
19530238-K,Juan Romero,2024,Atrasado,2021
12.237.997-6,Pedro Soto,2024,Al día,2023
11858982-1,Diego Aravena,2024,Al día,2022
12754456-k,Camila Martínez,2024,Al día,2022
23207147- 4,Diego González,2024,Atrasado,2019
17961752-k,Fernando Contreras,2019,Atrasado,2024
24219885- 4,Sofía González,2024,Atrasado,2024
19416904-k,Diego Martínez,2019,Atrasado,2020
14244385- 0,Diego Romero,2019,Al día,2022
15605691- 3,Juan González,2024,Atrasado,2020
254628257,Ana Tapia,2024,Atrasado,2024
16618434K,Moisés Pérez,2019,Al día,2019
179764473,Moisés Romero,2019,Al día,2023
17241691-1,Luis Soto,2024,Al día,2021
146806926,Juan González,2024,Atrasado,2019
157678687,Ana Aravena,2019,Atrasado,2023
15.348.388-4,Ana Soto,2019,Atrasado,2022
21897377- 9,Fernando Contreras,2024,Al día,2024
17607841k,Diego Contreras,2024,Al día,2019
23.307.699-6,Fernando Tapia,2024,Atrasado,2023
17631766-5,Moisés Pérez,2019,Atrasado,2020
17.763.610-9,Moisés Contreras,2019,Atrasado,2024
18.653.114-7,Camila Contreras,2024,Atrasado,2019
10704449-9,Luis Romero,2019,Atrasado,2023
14829179-1,Camila Aravena,2024,Al día,2022
179406904,Ana Soto,2019,Atrasado,2024
23719260- 0,Juan Silva,2019,Atrasado,2024
11128783- 3,Ana Tapia,2019,Al día,2019
25751596-3,Diego Silva,2019,Atrasado,2020
13.894.825-9,Luis Soto,2019,Atrasado,2020
204387424,Pedro Aravena,2024,Al día,2020
17.717.257-4,Diego Pérez,2024,Al día,2019
16978875- k,Fernando Silva,2019,Al día,2022
